pubid,ctuition17,state17,female,black,hisp,yr97,yr98,yr99,yr00,yr01,mhighgrad,msomcol,fhighgrad,fsomcol,parincome,afqt,dayssmklm17,pct_insclnxtyr
2163,3.376864433,82,1,0,0,1,0,0,0,0,0,1,0,1,127.8919601,90.41600037,30,60
2206,3.617011309,82,0,0,0,0,0,0,1,0,0,1,0,1,275.9911804,89.76200104,0,99
5021,3.617011309,82,1,0,0,0,0,0,1,0,1,0,0,1,28.42043686,61.26399994,0,10
2211,3.657426119,82,0,0,0,0,0,0,0,1,0,1,0,1,85.4800415,82.88700104,0,
4995,3.42429018,82,1,0,0,0,1,0,0,0,1,0,1,0,48.96066284,27.81900024,0,
3589,1.356900454,83,0,1,0,0,0,0,0,1,0,1,1,0,28.09747696,65.13500214,0,
3544,1.356900454,83,0,0,0,0,0,0,0,1,0,1,1,0,0,88.97799683,0,
6226,1.395511389,83,1,0,0,0,0,0,1,0,1,0,0,0,33.58778763,58.43999863,0,100
1519,1.356900454,83,0,0,0,0,0,0,0,1,0,1,0,1,0,88.44300079,0,
3740,1.356900454,83,1,1,0,0,0,0,0,1,1,0,1,0,64.60482025,44.89799881,0,
1517,1.395511389,83,1,0,1,0,0,0,1,0,0,1,0,1,0,34.31800079,10,100
3631,1.827899218,83,1,0,0,0,1,0,0,0,0,1,0,0,29.25656509,85.4980011,1,
6571,2.597474098,74,0,1,0,0,1,0,0,0,1,0,0,0,34.49207687,59.34500122,0,
3550,1.827899218,83,1,0,0,0,1,0,0,0,0,1,1,0,136.5472717,71.2990036,15,
3555,1.827899218,83,1,0,0,0,1,0,0,0,1,0,1,0,85.90722656,56.00600052,20,
6180,1.827899218,83,1,1,0,0,1,0,0,0,1,0,0,0,26.48267937,43.51699829,0,
1506,1.356900454,83,1,0,1,0,0,0,0,1,0,0,1,0,44.52085876,42.69499969,0,
1493,1.395511389,83,0,0,0,0,0,0,1,0,0,1,0,1,90.68702698,94.93699646,27,90
3628,1.395511389,83,1,1,0,0,0,0,1,0,0,1,1,0,36.68819809,82.6289978,0,100
1496,1.827899218,83,1,0,0,0,1,0,0,0,0,1,0,1,163.2883301,96.58899689,29,
3562,1.827899218,83,1,0,0,0,1,0,0,0,1,0,0,1,95.40184021,84.6289978,0,
3563,1.395511389,83,0,0,0,0,0,0,1,0,1,0,0,1,95.40184021,83.91799927,0,100
6195,1.395511389,83,0,0,0,0,0,0,1,0,1,0,1,0,78.86552429,24.03300095,0,80
1502,1.356900454,83,1,1,0,0,0,0,0,1,1,0,1,0,103.3470383,14.10599995,0,
3539,1.442419291,83,0,0,0,0,0,1,0,0,1,0,0,0,44.52085876,36.13399887,0,
3626,1.356900454,83,0,1,0,0,0,0,0,1,0,1,1,0,54.25719452,49.77999878,0,
3553,1.442419291,83,1,0,0,0,0,1,0,0,0,1,0,1,76.41222382,42.85900116,27,
3587,1.827899218,83,0,1,0,0,1,0,0,0,0,1,1,0,129.1838074,91.66100311,0,
3523,1.442419291,83,0,0,0,0,0,1,0,0,0,1,0,1,237.429184,91.07499695,30,
3637,1.356900454,83,1,1,0,0,0,0,0,1,0,1,1,0,110.5813293,73.12200165,0,
8652,1.442419291,83,1,1,0,0,0,1,0,0,1,0,0,0,41.97681046,29.62899971,0,
1485,1.395511389,83,0,0,0,0,0,0,1,0,0,1,0,1,97.05062103,49.125,0,100
1504,1.395511389,83,1,0,0,0,0,0,1,0,0,1,1,0,82.74222565,59.31600189,20,50
3538,1.442419291,83,0,0,0,0,0,1,0,0,1,0,1,0,55.60329056,67.5759964,5,
1533,1.442419291,83,1,0,0,0,0,1,0,0,0,1,0,1,231.4703064,67.83699799,0,
3606,1.395511389,83,0,0,0,0,0,0,1,0,0,1,0,1,318.40448,82.03800201,0,99
3705,1.395511389,83,1,0,0,0,0,0,1,0,0,1,0,1,116.265419,86.35900116,15,100
6235,1.356900454,83,1,1,0,0,0,0,0,1,1,0,0,0,45.21432877,12.67700005,0,
3532,1.442419291,83,1,0,0,0,0,1,0,0,1,0,0,0,0,21.47900009,0,
1487,1.827899218,83,1,0,0,0,1,0,0,0,0,1,0,1,121.5619507,88.47899628,20,
3541,1.442419291,83,1,0,0,0,0,1,0,0,1,0,0,0,21.96124649,58.84199905,30,
3760,1.827899218,83,0,1,0,0,1,0,0,0,1,0,1,0,43.01820374,17.25499916,0,
3556,1.395511389,83,0,0,0,0,0,0,1,0,1,0,1,0,85.90722656,93.66799927,30,100
8659,1.356900454,83,1,1,0,0,0,0,0,1,0,1,0,1,167.9389343,54.70899963,0,
3569,1.442419291,83,0,0,0,0,0,1,0,0,1,0,0,1,77.66529846,49.33300018,30,
3773,1.356900454,83,0,0,0,0,0,0,0,1,0,0,1,0,80.14562988,44.33800125,0,
3634,1.395511389,83,1,1,0,0,0,0,1,0,0,1,1,0,72.60129547,80.28900146,0,100
3619,1.356900454,83,1,0,0,0,0,0,0,1,1,0,1,0,28.6788044,82.06700134,30,
3770,1.395511389,83,0,0,0,0,0,0,1,0,0,1,0,0,56.19495392,97.97899628,0,100
6196,1.356900454,83,0,0,0,0,0,0,0,1,1,0,1,0,78.86552429,1.52699995,0,
3608,1.827899218,83,1,0,0,0,1,0,0,0,0,1,1,0,25.19084167,36.58499908,28,
3751,1.356900454,83,1,1,0,0,0,0,0,1,0,1,1,0,42.63065338,50.52399826,0,
3565,1.356900454,83,0,0,0,0,0,0,0,1,1,0,0,0,42.63065338,7.808000088,30,
8984,1.827899218,83,0,0,1,0,1,0,0,0,0,1,0,1,29.71227455,20.00200081,0,
6217,1.827899218,83,1,0,0,0,1,0,0,0,1,0,1,0,45.21432877,1.730999947,30,
1520,1.356900454,83,0,0,0,0,0,0,0,1,1,0,1,0,67.82149506,27.90500069,0,
3536,1.356900454,83,1,0,0,0,0,0,0,1,0,1,1,0,78.15619659,61.10800171,0,
3592,1.442419291,83,0,1,0,0,0,1,0,0,0,1,1,0,23.25308418,56.89899826,0,
3577,1.827899218,83,1,0,1,0,1,0,0,0,0,1,0,1,57.99189758,80.03099823,0,
3588,1.442419291,83,1,0,0,0,0,1,0,0,1,0,0,1,50.43335724,79.56800079,0,
8694,1.356900454,83,0,1,0,0,0,0,0,1,1,0,0,0,5.1673522,13.81599998,0,
8675,1.827899218,83,0,1,0,0,1,0,0,0,1,0,0,0,0,37.75,0,
1524,1.827899218,83,1,1,0,0,1,0,0,0,1,0,1,0,14.21021843,88.16300201,0,
1498,1.356900454,83,1,0,0,0,0,0,0,1,0,1,0,1,222.1018372,54.62099838,0,
3638,1.827899218,83,1,1,0,0,1,0,0,0,0,1,1,0,31.8006134,54.58100128,0,
4862,3.246206522,68,1,0,0,0,1,0,0,0,1,0,0,0,10.4987669,59.63499832,0,
8661,1.356900454,83,1,1,0,0,0,0,0,1,0,0,0,0,3.87551403,53.36700058,1,
3601,1.395511389,83,1,1,0,0,0,0,1,0,0,1,0,1,97.08162689,76.44200134,0,100
3731,1.827899218,83,0,0,0,0,1,0,0,0,0,1,0,1,62.8285408,95.70700073,0,
3604,1.395511389,83,1,0,0,0,0,0,1,0,1,0,0,1,112.3899078,53.19900131,0,100
4962,2.636531115,74,1,0,0,0,0,0,0,1,0,1,0,0,37.6170311,58.11899948,22,
6211,1.395511389,83,1,1,0,0,0,0,1,0,1,0,1,0,32.35798264,19.9640007,0,100
3552,1.395511389,83,1,0,0,0,0,0,1,0,0,1,1,0,45.60187912,32.48699951,1,99
3537,1.442419291,83,1,1,0,0,0,1,0,0,0,1,0,1,6.360122681,96.66500092,0,
3586,1.395511389,83,1,1,0,0,0,0,1,0,1,0,1,0,88.64592743,51.3219986,0,96
6230,1.356900454,83,0,1,0,0,0,0,0,1,0,1,1,0,150.4991302,75.58699799,0,
6237,1.442419291,83,0,1,0,0,0,1,0,0,0,1,0,0,29.06635475,68.11499786,0,
3612,1.395511389,83,1,0,0,0,0,0,1,0,0,1,0,1,102.3979721,61.63100052,0,100
1486,1.356900454,83,0,0,0,0,0,0,0,1,0,1,0,1,110.9172134,53.83300018,0,
3764,1.395511389,83,1,0,0,0,0,0,1,0,1,0,1,0,67.30475616,54.16500092,29,100
6234,1.356900454,83,0,1,0,0,0,0,0,1,0,1,0,1,69.96134949,77.61799622,0,
1531,1.395511389,83,1,0,0,0,0,0,1,0,0,1,0,1,192.8068237,71.02500153,0,99
8687,1.827899218,83,1,1,0,0,1,0,0,0,1,0,1,0,41.97681046,23.49699974,0,
8690,1.395511389,83,0,1,0,0,0,0,1,0,1,0,1,0,0,79.94300079,0,80
1497,1.442419291,83,1,0,0,0,0,1,0,0,0,1,0,1,222.1018372,86.55799866,0,
3527,1.395511389,83,1,0,0,0,0,0,1,0,0,1,0,1,69.43629456,92.94499969,0,100
3598,1.827899218,83,1,1,0,0,1,0,0,0,0,1,0,1,133.0593109,76.82299805,0,
1492,1.442419291,83,1,0,0,0,0,1,0,0,0,1,0,1,182.247345,84.03900146,0,
3518,1.442419291,83,0,0,0,0,0,1,0,0,1,0,0,1,66.14527893,17.93099976,0,
6190,1.827899218,83,1,0,0,0,1,0,0,0,0,1,0,1,318.40448,67.65200043,0,
8453,1.577310443,79,0,1,0,0,1,0,0,0,1,0,1,0,3.229594946,69.71900177,0,
6200,1.846036553,83,0,0,0,1,0,0,0,0,1,0,0,1,47.53963852,58.95700073,0,
8695,1.356900454,83,1,1,0,0,0,0,0,1,1,0,1,0,18.08573151,82.76699829,0,
3736,1.827899218,83,1,0,0,0,1,0,0,0,1,0,0,1,71.05109406,73.55899811,10,
1522,1.442419291,83,0,0,0,0,0,1,0,0,0,1,0,1,63.60122681,99.29599762,0,
3745,1.356900454,83,1,1,0,0,0,0,0,1,0,1,1,0,56.47916031,48.86399841,0,
3627,1.827899218,83,1,1,0,0,1,0,0,0,0,1,1,0,36.68819809,80.24900055,0,
3623,1.395511389,83,0,1,0,0,0,0,1,0,0,1,0,1,22.60716438,31.97400093,25,50
8668,1.827899218,83,1,1,0,0,1,0,0,0,0,0,0,0,0.839694679,34.35699844,0,
3754,1.442419291,83,1,1,0,0,0,1,0,0,0,0,1,0,39.6335907,60.68000031,0,
8684,1.442419291,83,0,1,0,0,0,1,0,0,0,1,0,1,0,78.52500153,0,
3522,1.356900454,83,1,0,0,0,0,0,0,1,0,1,0,0,37.46330261,41.49000168,20,
3594,1.442419291,83,1,1,0,0,0,1,0,0,0,1,1,0,45.21432877,65.50700378,5,
3579,1.395511389,83,1,1,0,0,0,0,1,0,0,1,0,1,111.9381561,45.99399948,0,100
6221,1.356900454,83,1,1,0,0,0,0,0,1,1,0,0,1,51.69935608,66.25099945,1,
6502,2.264232397,73,0,0,0,0,0,0,0,1,0,1,0,1,33.88800812,40.30400085,0,
3742,1.827899218,83,1,0,0,0,1,0,0,0,1,0,0,0,51.67351913,30.29800034,1,
3520,1.827899218,83,0,0,0,0,1,0,0,0,1,0,0,0,87.19906616,57.24399948,0,
3590,1.827899218,83,1,1,0,0,1,0,0,0,1,0,1,0,0,14.45199966,0,
8681,1.395511389,83,1,1,0,0,0,0,1,0,0,1,1,0,30.15149879,21.70299911,0,100
6223,1.395511389,83,0,1,0,0,0,0,1,0,0,1,1,0,99.1485672,62.24000168,0,100
6236,1.827899218,83,0,1,0,0,1,0,0,0,0,1,0,0,29.06635475,17.39500046,0,
3530,1.356900454,83,0,0,0,0,0,0,0,1,0,1,1,0,43.66412354,85.21199799,30,
3722,1.442419291,83,1,0,0,0,0,1,0,0,1,0,0,0,29.32730675,28.05200005,0,
6210,1.395511389,83,0,0,0,0,0,0,1,0,1,0,1,0,19.3775692,66.16500092,0,95
